id,code,title,alicuota,minimumTax
81,3.2.14.04,"Supermercados, hipermercados, auto mercados, panaderías, pescaderías, carnicerías, Hortalizas, y afines",0.0150,15.00
82,3.2.14.05,Tiendas por departamento,0.0150,15.00
83,3.2.15,Otras actividades de comercio al detal no especificadas en los sub-ramos anteriores,0.0300,15.00
84,3.3.01,"Servicio de restaurant, alimentos y bebidas preparados, heladerías y afines",0.0200,15.00
85,3.3.02,"Servicio deportivo, de recreación, eventos y agencias de festejos",0.0200,15.00
86,3.3.03,Juegos y Apuestas licitas,0.0300,15.00
87,3.3.04,Hoteles y posadas,0.0200,15.00
88,3.3.05,Pensiones y Afines,0.0150,15.00
89,3.3.06,"Transporte de pasajeros, en vehículos, autobuses y motos",0.0150,15.00
90,3.3.07,Transporte de carga terrestre,0.0200,15.00
91,3.3.08,Servicios de almacenaje,0.0200,15.00
92,3.3.09,Estaciones surtidora de combustibles,0.0025,15.00
93,3.3.10,Servicios de salud (clínicas y laboratorios),0.0100,15.00
94,3.3.11,"Servicios de estética, belleza y cuidados personales",0.0150,15.00
95,3.3.12,"Servicios de atención, cuidado y estética para animales",0.0200,15.00
96,3.3.13,"Limpieza, mantenimiento, ornato, floristería  y fumigación",0.0150,15.00
97,3.3.14,"Servicios de formación, vigilancia y servicios diversos prestados por agencias especializadas",0.0300,15.00
98,3.3.15,Servicio de estacionamiento,0.0100,15.00
99,3.3.16,Arrendamientos diversos de maquinarias y equipos en general,0.0200,15.00
100,3.3.17,Servicios radiodifusión y telecomunicaciones,0.0100,15.00
101,3.3.18,Servicios de tecnología y medios de difusión,0.0100,15.00
102,3.3.19,"Servicios fotográficos, de imprenta y reproducción",0.0200,15.00
103,3.3.20,"Servicios de instalación y reparación de artefactos, equipos y accesorios",0.0150,15.00
104,3.3.21,"Servicios de mecánica, electricidad, gas y similares.",0.0150,15.00
105,3.3.22,Bancos universales e instituciones financieras,0.0300,15.00
106,3.3.23,Instituciones de seguros y similares.,0.0300,15.00
107,3.3.24,"Servicios inmobiliarios, de administración de inmuebles y actividades de índole similar",0.0300,15.00
108,3.3.25,Servicio de publicidad,0.0300,15.00
109,3.3.26,Servicio de mantenimiento y reparación a la industria petrolera.,0.0250,15.00
110,3.3.27,Servicio de mantenimiento y reparación a la industria gasífera y petroquímica.,0.0250,15.00
111,3.3.28,"Servicio de mantenimiento preventivo y correctivo, remodelaciones menores y adecuaciones de obras civiles",0.0200,15.00
112,3.3.29,Servicios de asesorías profesionales y técnicas,0.0100,15.00
113,3.3.30,Servicios Funerarios,0.0200,15.00
114,3.3.31,Instituciones Educativas Privadas,0.0000,15.00
115,3.4.01,"Actividades industriales, comerciales, de servicios y de índole similar no especificadas en el clasificador de actividades económicas",0.0300,15.00
